id_config,execucao,seed,operador,populacao,geracoes,taxa_crossover,taxa_mutacao,distancia_final,melhor_rota
8,9,8008,PMX,50,100,0.9,0.05,337,"[1, 14, 4, 6, 8, 9, 7, 2, 11, 13, 5, 3, 10, 0, 12]"
8,10,8009,PMX,50,100,0.9,0.05,291,"[11, 2, 6, 4, 8, 14, 1, 12, 0, 10, 3, 5, 7, 9, 13]"
9,1,9000,OX,100,100,0.8,0.01,333,"[13, 5, 3, 10, 7, 9, 1, 0, 12, 14, 8, 4, 6, 2, 11]"
9,2,9001,OX,100,100,0.8,0.01,347,"[11, 13, 9, 5, 7, 3, 10, 0, 12, 14, 1, 8, 4, 6, 2]"
9,3,9002,OX,100,100,0.8,0.01,376,"[2, 9, 8, 6, 4, 14, 12, 0, 7, 1, 10, 3, 5, 13, 11]"
9,4,9003,OX,100,100,0.8,0.01,315,"[12, 1, 14, 8, 4, 6, 2, 9, 7, 11, 13, 5, 3, 10, 0]"
9,5,9004,OX,100,100,0.8,0.01,299,"[3, 5, 7, 9, 11, 13, 2, 6, 4, 8, 14, 1, 12, 0, 10]"
9,6,9005,OX,100,100,0.8,0.01,299,"[13, 11, 2, 6, 4, 8, 14, 12, 1, 0, 10, 3, 5, 7, 9]"
9,7,9006,OX,100,100,0.8,0.01,340,"[10, 0, 7, 1, 12, 14, 8, 4, 6, 9, 2, 11, 13, 5, 3]"
9,8,9007,OX,100,100,0.8,0.01,295,"[6, 4, 14, 8, 1, 12, 0, 10, 3, 5, 7, 9, 13, 11, 2]"
9,9,9008,OX,100,100,0.8,0.01,333,"[8, 4, 6, 2, 11, 13, 5, 3, 10, 7, 9, 1, 0, 12, 14]"
9,10,9009,OX,100,100,0.8,0.01,295,"[2, 6, 4, 14, 8, 1, 12, 0, 10, 3, 5, 7, 9, 13, 11]"
10,1,10000,PMX,100,100,0.8,0.01,367,"[4, 6, 2, 11, 13, 9, 14, 12, 0, 1, 10, 3, 5, 7, 8]"
10,2,10001,PMX,100,100,0.8,0.01,363,"[5, 3, 10, 7, 1, 0, 12, 8, 4, 14, 6, 2, 11, 13, 9]"
10,3,10002,PMX,100,100,0.8,0.01,315,"[7, 13, 5, 3, 10, 0, 12, 1, 14, 8, 4, 6, 2, 11, 9]"
10,4,10003,PMX,100,100,0.8,0.01,291,"[4, 8, 14, 1, 12, 0, 10, 3, 5, 7, 9, 13, 11, 2, 6]"
10,5,10004,PMX,100,100,0.8,0.01,331,"[0, 12, 1, 14, 6, 4, 8, 2, 11, 13, 9, 7, 5, 3, 10]"
10,6,10005,PMX,100,100,0.8,0.01,291,"[1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0, 12]"
10,7,10006,PMX,100,100,0.8,0.01,355,"[10, 0, 12, 1, 7, 8, 14, 4, 6, 11, 2, 13, 9, 5, 3]"
10,8,10007,PMX,100,100,0.8,0.01,353,"[14, 8, 4, 6, 2, 11, 13, 5, 9, 1, 12, 0, 10, 3, 7]"
10,9,10008,PMX,100,100,0.8,0.01,388,"[4, 14, 12, 0, 10, 7, 9, 8, 1, 3, 5, 11, 13, 2, 6]"
10,10,10009,PMX,100,100,0.8,0.01,351,"[9, 7, 5, 3, 12, 0, 10, 1, 14, 8, 4, 6, 2, 11, 13]"
11,1,11000,OX,100,100,0.9,0.01,299,"[11, 13, 9, 7, 5, 3, 10, 0, 1, 12, 14, 8, 4, 6, 2]"
11,2,11001,OX,100,100,0.9,0.01,339,"[9, 14, 8, 4, 6, 2, 11, 13, 3, 5, 10, 0, 12, 1, 7]"
11,3,11002,OX,100,100,0.9,0.01,311,"[4, 8, 14, 1, 12, 0, 10, 5, 3, 7, 9, 13, 11, 2, 6]"
11,4,11003,OX,100,100,0.9,0.01,333,"[10, 0, 12, 14, 4, 8, 6, 2, 11, 13, 9, 1, 7, 5, 3]"
11,5,11004,OX,100,100,0.9,0.01,337,"[6, 2, 11, 7, 13, 9, 5, 3, 10, 0, 12, 1, 14, 8, 4]"
11,6,11005,OX,100,100,0.9,0.01,303,"[12, 0, 10, 3, 5, 7, 9, 11, 13, 2, 6, 4, 14, 8, 1]"
11,7,11006,OX,100,100,0.9,0.01,299,"[6, 4, 8, 14, 1, 12, 0, 10, 3, 5, 7, 9, 11, 13, 2]"
11,8,11007,OX,100,100,0.9,0.01,359,"[6, 4, 14, 1, 12, 8, 0, 10, 5, 3, 7, 9, 13, 11, 2]"
11,9,11008,OX,100,100,0.9,0.01,335,"[1, 14, 4, 8, 6, 2, 11, 13, 9, 5, 7, 3, 10, 0, 12]"
11,10,11009,OX,100,100,0.9,0.01,291,"[9, 7, 5, 3, 10, 0, 12, 1, 14, 8, 4, 6, 2, 11, 13]"
12,1,12000,PMX,100,100,0.9,0.01,324,"[11, 13, 9, 7, 5, 3, 10, 0, 1, 12, 14, 8, 6, 4, 2]"
12,2,12001,PMX,100,100,0.9,0.01,438,"[12, 0, 7, 9, 13, 5, 3, 10, 11, 6, 2, 4, 1, 8, 14]"
12,3,12002,PMX,100,100,0.9,0.01,408,"[9, 11, 2, 6, 4, 14, 8, 12, 3, 5, 13, 1, 0, 10, 7]"
12,4,12003,PMX,100,100,0.9,0.01,325,"[4, 6, 11, 13, 2, 9, 7, 5, 3, 10, 0, 12, 1, 8, 14]"
12,5,12004,PMX,100,100,0.9,0.01,362,"[13, 11, 2, 6, 4, 14, 8, 9, 1, 12, 0, 5, 3, 10, 7]"
12,6,12005,PMX,100,100,0.9,0.01,299,"[6, 2, 13, 11, 9, 7, 5, 3, 10, 0, 12, 1, 14, 8, 4]"
12,7,12006,PMX,100,100,0.9,0.01,345,"[0, 10, 3, 5, 11, 13, 2, 6, 4, 8, 14, 1, 9, 7, 12]"
12,8,12007,PMX,100,100,0.9,0.01,360,"[0, 1, 12, 14, 8, 7, 4, 6, 2, 9, 11, 13, 5, 3, 10]"
12,9,12008,PMX,100,100,0.9,0.01,307,"[7, 1, 12, 0, 10, 3, 5, 13, 11, 2, 6, 4, 14, 8, 9]"
